cpd_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_Cntnap1.csv),1.1110855,1.145372324,1.140052788,1.128915901,1.110582427,1.186585612,1.137099092
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_Lingo1.csv),1.306574574,1.227868061,1.260271911,1.237224656,1.240577792,1.27632678,1.258140629
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_Ngfr.csv),0.973820148,0.986292835,0.966338768,0.992953369,0.966593391,0.971511312,0.976251637
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_Rtn4r.csv),1.193665559,1.185384414,1.235729922,1.213263954,1.187362118,1.260770584,1.212696092
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_Rtn4rl2.csv),1,1,1,1,1,1,1
IVH_1d-[I_V-VIa-VIb]up--(Rtn4_S1pr2.csv),1.038329087,0.98963636,1.018994784,0.979439162,0.973400535,1.020719655,1.00341993
MB_TH,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[MB_TH]up--(Adcyap1_Ramp3.csv),1.144987498,1.15545341,1.121242061,1.134741537,1.093881444,1.152582299,1.133814708
IVH_1d-[MB_TH]up--(Adm2_Ramp3.csv),1,1,1,0.924885741,1,1,0.987480957
IVH_1d-[MB_TH]up--(Cck_Cckar.csv),1.039329118,1.061600785,1.03212558,1.050007429,1.012107952,1.060033943,1.042534134
IVH_1d-[MB_TH]up--(Cck_Cckbr.csv),0.744403212,0.741386993,0.729566963,0.763987423,0.75973003,0.77613133,0.752534325
IVH_1d-[MB_TH]up--(Iapp_Ramp3.csv),1,1,1,1,1,1,1
IVH_1d-[MB_TH]up--(Ntng1_Lrrc4.csv),1.327603504,1.274992796,1.28,1.310714183,1.350596791,1.340449138,1.314059402
IVH_1d-[MB_TH]up--(Vip_Ramp3.csv),1.005280959,0.990747102,0.998537021,0.970476805,0.996336634,0.925129032,0.981084592
TH_CA1,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[TH_CA1]up--(Dkk3_Kremen1.csv),0.991137237,0.948408808,1.001063465,1.001336162,0.990552661,1.011809393,0.990717954
IVH_1d-[TH_CA1]up--(Icam5_Itgal.csv),1.027759102,1.047605901,0.990491389,0.995023276,0.973547094,0.993615317,1.00467368
IVH_1d-[TH_CA1]up--(Icam5_Itgb2.csv),1.002748369,0.963599414,1.007445415,1.009058544,1.000926792,1.023617336,1.001232645
TH_CA3,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[TH_CA3]up--(Dkk3_Kremen1.csv),1.037019662,0.995469149,1.037632816,0.945491883,0.990086728,0.993412622,0.999852143
IVH_1d-[TH_CA3]up--(Fyn_Thy1.csv),1.206248953,1.268288084,1.279546142,1.267676628,1.372882308,1.295377056,1.281669862
IVH_1d-[TH_CA3]up--(Icam5_Itgal.csv),0.979635863,1.020823165,0.986049495,0.995132049,0.99820618,0.98507289,0.994153274
IVH_1d-[TH_CA3]up--(Icam5_Itgb2.csv),0.991491778,0.911158949,0.947404962,0.95204846,0.954083035,0.946179676,0.950394477
IVH_1d-[TH_CA3]up--(Nptx1_Nptxr.csv),1.086147039,1.057799854,1.127807198,0.99702533,1.026552382,1.052234467,1.057927711
