CA1_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[fxs_I]up--(Apoe_Sdc1.csv),0.98852714,1.044600575,1.035225734,1.026253666,0.90188389,0.999298201, '+'
IVH_3d-[fxs_I]up--(Apoe_Sdc4.csv),1.274121332,1.190779301,1.37062522,1.22779025,1.445569045,1.30177703, '++'
IVH_3d-[fxs_I]up--(Apoe_Sorl1.csv),1.116851058,1.096894087,1.091555085,1.203051784,1.289579187,1.15958624, '++'
IVH_3d-[fxs_I]up--(Apoe_Trem2.csv),1.356381479,1.218118698,1.393477533,1.195370281,1.321860169,1.297041632, '++'
IVH_3d-[fxs_I]up--(Apoe_Vldlr.csv),1.085646809,1.098203902,1.262463814,1.095167202,1.244682713,1.157232888, '++'
IVH_3d-[fxs_I]up--(Lcn2_Slc22a17.csv),1.284342014,1.269887701,1.209981994,1.28564692,0.9164163,1.193254986, '++'
IVH_3d-[fxs_I]up--(Nptx1_Nptxr.csv),0.949459538,0.959271668,1.009490132,1.094802405,1.034630556,1.00953086, '++'
IVH_3d-[fxs_I]up--(Nptx2_Nptxr.csv),1.038729706,1.031520067,1.077778981,1.092895972,1.035743162,1.055333578, '++'
HYL_CA1,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[HYL_CA1]up--(Icam5_Itgal.csv),1.041947566,1.045235547,1.008528834,1.05270884,1.080314598,1.045747077, '++'
IVH_3d-[HYL_CA1]up--(Icam5_Itgb2.csv),0.97034107,0.877126813,0.925502526,0.980570735,1.075986063,0.965905441, '+'
IVH_3d-[HYL_CA1]up--(Nptx1_Nptxr.csv),0.708169038,0.647800692,0.660832331,0.782138548,0.78219879,0.71622788, '+'
HYL_TH,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[HYL_TH]up--(Adcyap1_Ramp3.csv),0.976009272,0.998028546,0.943812981,0.997774076,1.026398347,0.988404645, '+'
IVH_3d-[HYL_TH]up--(Adm2_Ramp3.csv),1,1.002623645,1,1,1,1.000524729, '++'
IVH_3d-[HYL_TH]up--(Cck_Cckar.csv),1.100544887,1.091817,1.090844634,1.075123694,1.057389669,1.083143976, '++'
IVH_3d-[HYL_TH]up--(Cck_Cckbr.csv),0.698527706,0.701223842,0.737369343,0.714787374,0.708966718,0.712174997, '+'
IVH_3d-[HYL_TH]up--(Iapp_Ramp3.csv),1,1,1,1,1,1, '++'
IVH_3d-[HYL_TH]up--(Ntng1_Lrrc4c.csv),1.167719313,1.112649459,1.146579782,1.151478252,1.193967895,1.15447894, '++'
IVH_3d-[HYL_TH]up--(Vip_Ramp3.csv),0.977072318,0.930313213,0.942769449,0.970634455,0.917964758,0.947750838, '+'
HY_MB,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[HY_MB]up--(Col2a1_Mag.csv),1.000697602,0.992792502,0.996097944,0.957394212,0.969531402,0.983302732, '+'
IVH_3d-[HY_MB]up--(Col3a1_Mag.csv),0.966107106,0.939971451,0.945912017,0.987263157,0.9691928,0.961689306, '+'
IVH_3d-[HY_MB]up--(Col9a1_Mag.csv),1.011425954,1.008274935,0.982997922,1.005117602,0.984304441,0.998424171, '+'
IVH_3d-[HY_MB]up--(Col9a2_Mag.csv),1.259880353,1.112808256,1.195950082,1.097900033,1.065299374,1.14636762, '++'
IVH_3d-[HY_MB]up--(Col9a3_Mag.csv),1.05485026,0.980230629,1.074944242,0.921212325,0.947829474,0.995813386, '+'
IVH_3d-[HY_MB]up--(Lgals3_Mag.csv),0.989452418,1.015173218,0.946239129,0.893711822,0.889809087,0.946877135, '+'
IVH_3d-[HY_MB]up--(Trf_Tfr2.csv),1.060574399,1.002893642,1.09768979,1.032364134,0.990424493,1.036789292, '++'
IVH_3d-[HY_MB]up--(Trf_Tfrc.csv),1.049024549,0.972576176,1.074323608,0.972860897,0.977754561,1.009307958, '++'
I_II-III-IV,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_II-III-IV]up--(App_Adra2a.csv),0.886556366,0.866354042,0.82733917,0.873118308,0.833700901,0.857413757, '+'
IVH_3d-[I_II-III-IV]up--(App_Casr.csv),1.005640023,1.031006323,1.034170505,1.056551769,1.047327634,1.034939251, '++'
IVH_3d-[I_II-III-IV]up--(App_Cav1.csv),1.050483469,0.960912706,0.909562076,0.967058741,0.903808441,0.958365087, '+'
